,Ticker Name,MSE,r2
0,AMZN,0.5625264381783258,0.3708846423373716
0,AAPL,0.6603640345476298,0.2593860585235169
0,CSCO,0.5370555796272003,0.4662179110213663
0,CMCSA,0.6145256108892977,0.3797723803888383
0,INTC,0.5668858837227199,0.3869615196404702
0,MSFT,0.5749174780664917,0.458838706776014
0,VZ,0.7781084762073058,0.22664111576739235
0,V,0.6039798167009771,0.42978565478069175
0,WMT,0.835380602810884,0.203253993297425
0,GS,0.3630515815059713,0.6433581474947163
0,JPM,0.5426172075785757,0.4974579643320819
0,JNJ,0.5507727586439082,0.43865752374457323
0,PFE,0.6674294301678388,0.35237483727414887
0,MRK,0.5886846946750487,0.417234260821286
0,GIS,0.6718719688852225,0.34671671140101
0,PG,0.6141372363246379,0.35354029996158287
0,KO,0.746732549749606,0.27251479602864637
0,MMM,0.5916882369737527,0.4476426004110017
0,MCD,0.6488769299726306,0.24251043362319777
0,BA,0.5705978050714804,0.4235767121428576
0,CAT,0.8661326063860453,0.23972046374104827
0,CVX,0.7596549457314047,0.2542399816359666
0,XOM,0.8253905050299263,0.18770220182452946
0,GE,0.661155836308078,0.333703199373541
0,F,0.3526697182950199,0.6606534292676175
0,HON,0.6430275782390146,0.4172880196499872
0,HD,0.5916877990226279,0.3920703115094577
